node_entity_id,url,entity_type,entity_name,entity_role,source_field,extracted_value,normalized_value,confidence_score,extraction_method,status
4b08dcb2-e9a1-4a43-a7a5-18e72485ad4a,https://www.kenresearch.com/articles/australia-retail-market-recovery-growth,market,Australian Retail Market,primary_market,title,"Australian Retail Market Recovery 2025: Growth, Investment & Trends",australian retail market,0.65,pattern,extracted
7c57cdf5-f089-4713-88e1-87d00d0ae542,https://www.kenresearch.com/articles/battery-confidence-shaping-india-ev-scooter-future,market,Electric Scooter Market,primary_market,title,India Electric Scooter Market: Battery Trust Barrier in 2025,electric scooter market,0.65,pattern,extracted
8a13b3a7-1e40-4d8c-b457-d01387676521,https://www.kenresearch.com/articles/india-infrastructure-capex-reshaping-heavy-equipment-market,market,India’s Heavy Load Equipment Market,primary_market,title,India’s Heavy Load Equipment Market to Reach USD 3.55 Million,india’s heavy load equipment market,0.65,pattern,extracted
00bd1978-5b76-449f-89d2-f274da26115c,https://www.kenresearch.com/articles/malaysia-led-market-policy-support-impact,market,LED Bulb Market,primary_market,title,"Malaysia LED Bulb Market 2030: Smart LEDs, Policy, LaaS",led bulb market,0.65,pattern,extracted
a822dbc8-45f2-4c6b-8d9a-2951e0898ce1,https://www.kenresearch.com/case-studies/b2b-elearning-market-trends-india-it-sector,market,E-Learning Market,primary_market,title,"India E-learning Market 2025: Digital Skilling, Acquisition Valuation & GTM",e-learning market,0.65,pattern,extracted
f540aa47-47dc-44b2-95a2-d1f548c66fb5,https://www.kenresearch.com/case-studies/car-rental-market-entry-strategy-vs-risk-analysis,country,Netherlands,country,title,Netherlands Car Rental Market Entry Strategy | Ken Research 2025,netherlands,0.65,pattern,extracted
0ee65f91-a19a-48a3-859d-6c3fb34c5e2a,https://www.kenresearch.com/case-studies/car-rental-market-entry-strategy-vs-risk-analysis,region,Europe,region,title,Netherlands Car Rental Market Entry Strategy | Ken Research 2025,europe,0.65,derived,extracted
e4122fa8-2b7a-4415-823f-a160c7d8654f,https://www.kenresearch.com/case-studies/cost-effective-market-entry-strategy-vietnam-pharma,market,Pharmaceuticals Market,primary_market,title,"Vietnam Pharmaceutical Market Entry Strategy | Growth, Players & Trade Insights",pharmaceutical market,0.65,pattern,extracted
93114fda-c25c-495b-aaf9-304fcd106878,https://www.kenresearch.com/case-studies/edtech-market-strategy-pricing-impact-analysis,country,India,country,title,India Financial Education Market Sees 25% Enrolment Surge,india,0.65,pattern,extracted
a8f8f707-c4e2-4e33-8a96-905ab02e811d,https://www.kenresearch.com/case-studies/edtech-market-strategy-pricing-impact-analysis,region,Asia Pacific,region,title,India Financial Education Market Sees 25% Enrolment Surge,asia pacific,0.65,derived,extracted
7e5fa3ac-e796-4752-b6d9-3c21baec1531,https://www.kenresearch.com/case-studies/edtech-market-strategy-pricing-impact-analysis,market,Financial Education Market,primary_market,title,India Financial Education Market Sees 25% Enrolment Surge,financial education market,0.65,pattern,extracted
84b10269-7239-4538-b605-4ecef34b2c9d,https://www.kenresearch.com/case-studies/how-ken-research-helped-launch-saudi-medical-fitness-center,market,Riyadh Medical Fitness Market,primary_market,title,Riyadh Medical Fitness Market Investment Case: GTM Strategy & ROI Modeling,riyadh medical fitness market,0.65,pattern,extracted
8dd06566-71a0-4804-bc8c-c66852172658,https://www.kenresearch.com/case-studies/india-k12-curriculum-publishing-market-expansion,market,Publisher Cracks India’s K-12 Curriculum Market,primary_market,title,Global Publisher Cracks India’s K-12 Curriculum Market with Strategy,publisher cracks india’s k-12 curriculum market,0.65,pattern,extracted
c5ff6cc9-8f5b-4dcb-a8bf-742439b67128,https://www.kenresearch.com/case-studies/india-k8-education-ecosystem-market-opportunity,market,K-8 Learning Kits Market,primary_market,title,"India K–8 Learning Kits Market, Growth & GTM Strategy",k-8 learning kits market,0.65,pattern,extracted
de86d0cb-f0ea-4100-894a-7ca58534620a,https://www.kenresearch.com/case-studies/kuwait-automotive-leasing-growth-opportunity,market,Vehicle Leasing Market,primary_market,title,Kuwait Vehicle Leasing Market Growth and Competitive Outlook,vehicle leasing market,0.65,pattern,extracted
61e76c4a-7d71-4713-9ff2-9d4a812c51c0,https://www.kenresearch.com/case-studies/policy-impact-on-india-packaging-and-material-handling,market,B2B Packaging Market,primary_market,title,India B2B Packaging Market: Pricing Strategy & GTM Insights | Ken Research,b2b packaging market,0.65,pattern,extracted
2bc28939-a2d9-40a4-b0bd-0ee1375f2cf1,https://www.kenresearch.com/global-artificial-intelligence-in-medicine-market,market,AI in Medicine Market,primary_market,title,Global AI in Medicine Market | 2019 – 2030 | Ken Research,ai in medicine market,0.65,pattern,extracted
3dc9c82f-03ab-464c-9cc6-45d5100f5231,https://www.kenresearch.com/industry-reports/europe-gambling-and-gaming-market,market,European Gambling & Gaming Market,primary_market,title,"European Gambling & Gaming Market Research Report, Market Size, Market Value : Ken Research",european gambling & gaming market,0.65,pattern,extracted
110c51a4-0ca7-4fb7-b496-0376f9ec519d,https://www.kenresearch.com/industry-reports/india-natural-gas-market,market,Bromine Market,primary_market,title,"Vietnam Bromine Market, Industry Trends, Challenges and Opportunities to 2030",bromine market,0.65,pattern,extracted
ffcc3bb5-eed6-451f-95e1-be5028d445af,https://www.kenresearch.com/industry-reports/turkey-cards-and-payments-market,market,Card Issuer Market,primary_market,title,"Turkey Card Issuer Market, Cards and Payments Industry: Ken Research",card issuer market,0.65,pattern,extracted
3df72207-0f9a-4d0c-bf0a-350e58b80912,https://www.kenresearch.com/industry-reports/usa-pen-needle-market,market,Pen Needles Market,primary_market,title,"USA Pen Needles Market, Industry Growth and Forecast to 2030",pen needles market,0.65,pattern,extracted
0eafc03d-0ec5-46c0-9cce-9981808e26d4,https://www.kenresearch.com/industry-reports/vietnam-healthcare-information-technology-market,market,Healthcare IT Market,primary_market,title,Vietnam Healthcare IT Market Trends & Digital Health to 2029,healthcare it market,0.65,pattern,extracted
19cb2d1e-9683-46d7-bbf3-a285bb6688c2,https://www.kenresearch.com/kuwait-facility-management-software-market,market,FM Software Market,primary_market,title,Kuwait FM Software Market | 2019 – 2030 | Ken Research,fm software market,0.65,pattern,extracted
1190af69-69cd-4787-b91d-1468f4fa0929,https://www.kenresearch.com/middle-east-and-africa-insulin-infusion-pumps-market,market,MEA Insulin Pumps Market,primary_market,title,MEA Insulin Pumps Market | 2019 – 2030 | Ken Research,mea insulin pumps market,0.65,pattern,extracted
c858cbe8-c74c-425d-bb9d-675ed2b6f954,https://www.kenresearch.com/middle-east-command-control-systems-market,market,C2 Systems Market,primary_market,title,Middle East C2 Systems Market | 2019 – 2030 | Ken Research,c2 systems market,0.65,pattern,extracted
c3fac669-365c-4c69-a133-ed65f95de7ff,https://www.kenresearch.com/middle-east-smart-card-materials-market,market,nan Market,primary_market,title,nan Market Size & Forecast Report 2025-2031,nan market,0.65,pattern,extracted
97123bed-b184-4690-9079-cd0a8154f884,https://www.kenresearch.com/oman-business-process-outsourcing-bpo-market,market,nan Market,primary_market,title,"nan Market Size, Share, Outlook & Trends Report 2025-2031",nan market,0.65,pattern,extracted
832d7dbb-614c-4cff-9ca0-943fb277f86e,https://www.kenresearch.com/oman-cold-storage-automation-and-robotics-market,market,Cold Storage Automation & Robotics Market,primary_market,title,"Oman Cold Storage Automation & Robotics Market Share, Companies & Trends Report 2025-2030",cold storage automation & robotics market,0.65,pattern,extracted
818b95c2-ca3f-4012-bc50-329fdb51db68,https://www.kenresearch.com/philippines-apac-micro-led-market,market,nan Market,primary_market,title,nan Market Size & Forecast Report 2025-2031,nan market,0.65,pattern,extracted
2333f9a9-696d-4ea5-8be5-e7eeff191f64,https://www.kenresearch.com/philippines-ulcerative-colitis-market,market,nan Market,primary_market,title,"nan Market Analysis, Trends & Forecast 2025-2031",nan market,0.65,pattern,extracted
1cfdf41f-d4b8-4bfb-8bd7-14edf48d9c4e,https://www.kenresearch.com/portugal-luggage-bags-industry-market,market,Luggage & Bags Market,primary_market,title,"Portugal Luggage & Bags Market Share, Companies & Trends Report 2025-2031",luggage & bags market,0.65,pattern,extracted
a0c1bc77-783f-4eb7-ac62-c688151c2074,https://www.kenresearch.com/uae-cybersecurity-in-government-systems-market,market,Govt Cybersecurity Market,primary_market,title,UAE Govt Cybersecurity Market | 2019 – 2030 | Ken Research,govt cybersecurity market,0.65,pattern,extracted
30b85002-cc16-4d74-bea3-9da029300856,https://www.kenresearch.com/united-arab-emirates-acute-hospital-care-market,country,UAE,country,title,"United Arab Emirates Acute Hospital Care Market Share, Companies & Trends Report 2025-2031",uae,0.65,pattern,extracted
