recommendation_id,status,source_url,target_url,anchor_text,placement_type,suggested_sentence,relationship_type,link_score,score_band,risk_flag,validation_status,recommendation_reason,risk_reason
5114b72c-7797-45d0-b96a-989b4be0c1fa,approved,https://www.kenresearch.com/industry-reports/indonesia-online-grocery-market,https://www.kenresearch.com/industry-reports/india-online-grocery-market,India Online Grocery Market,contextual_body,"Indonesia online grocery market is currently positioned at a growth stage, and increasing at a staggering double-digit growth rate during the period 2016 and 2021P.",same_market,75.4,secondary,low,approved_for_review,indonesia-online-grocery-market and india-online-grocery-market share a same market relationship (confidence 0.90); link with anchor 'India Online Grocery Market' [secondary].,
783a55af-1502-4aa9-a245-c82cbfe2b07c,approved,https://www.kenresearch.com/indonesia-coin-operated-commercial-laundry-market,https://www.kenresearch.com/thailand-coin-operated-commercial-laundry-market,Thailand Coin Operated Commercial Laundry Market,contextual_body,The Indonesia Coin-Operated Commercial Laundry Market worth USD 123 million in 2025 is growing at a CAGR of 10.83% to reach USD 228 million by 2031.,same_market,70.7,secondary,low,approved_for_review,indonesia-coin-operated-commercial-laundry-market and thailand-coin-operated-commercial-laundry-market share a same market relationship (confidence 0.90); link with anchor 'Thailand Coin Operated Commercial Laundry Market' [secondary].,
424ad22e-a106-40f0-a088-c04a2d432578,approved,https://www.kenresearch.com/mexico-nutritional-supplements-functional-foods-market,https://www.kenresearch.com/turkey-nutritional-supplements-and-wellness-market,Turkey Nutritional Supplements Market,contextual_body,"Comprehensive analysis of key factors shaping the Mexico Nutritional Supplements & Functional Foods Market, including growth catalysts, operational challenges, and emerging opportunities across production, distribution, and consumer segments.",same_market,69.7,secondary,low,approved_for_review,mexico-nutritional-supplements-functional-foods-market and turkey-nutritional-supplements-and-wellness-market share a same market relationship (confidence 0.90); link with anchor 'Turkey Nutritional Supplements Market' [secondary].,
7c722834-9eca-46c7-85fa-227144edfd51,approved,https://www.kenresearch.com/vietnam-car-rental-mobility-solutions-market,https://www.kenresearch.com/articles/indonesia-car-rental-leasing-market-b2b-ota-dominance,Indonesia Car Rental Market,contextual_body,"Vietnam Car Rental & Mobility Solutions Market expected to reach $5.05 billion by 2031, growing at 15.84% CAGR, driven by rising tourism and electric fleets.",same_market,67.1,secondary,low,approved_for_review,vietnam-car-rental-mobility-solutions-market and indonesia-car-rental-leasing-market-b2b-ota-dominance share a same market relationship (confidence 0.90); link with anchor 'Indonesia Car Rental Market' [secondary].,
ea2d7b5d-107b-44d5-a4cc-4add450dd7ae,approved,https://www.kenresearch.com/malaysia-personal-loan-market,https://www.kenresearch.com/articles/india-personal-loan-market-trust-gap,India Personal Loan Market,contextual_body,"The future of the personal loan market in Malaysia appears promising, driven by ongoing digital transformation and a growing middle-class population.",same_market,64.2,hold,low,approved_for_review,malaysia-personal-loan-market and india-personal-loan-market-trust-gap share a same market relationship (confidence 0.90); link with anchor 'India Personal Loan Market' [hold].,
808fcca6-4cbb-4b90-b3a9-f55fe1315a83,approved,https://www.kenresearch.com/articles/india-personal-loan-market-trust-gap,https://www.kenresearch.com/malaysia-personal-loan-market,Malaysia Personal Loan Market,contextual_body,"India's personal loan market surpassed INR 13.4 trillion in outstanding balances by March 2025 , growing at a ~22% CAGR since 2021 on the back of rising consumption credit, digital lending infrastructure, and the mainstreaming of BNPL and pre-approved loan products.",report_article_support,63.4,hold,low,approved_for_review,india-personal-loan-market-trust-gap and malaysia-personal-loan-market share a report article support relationship (confidence 0.75); link with anchor 'Malaysia Personal Loan Market' [hold].,
033c5d6b-a2e4-4824-8de2-8eb0eea548f9,approved,https://www.kenresearch.com/articles/ksa-automotive-market-competitive-shift,https://www.kenresearch.com/articles/ksa-automotive-growth-strategy-vision-2030,Saudi Arabia Automotive Market,contextual_body,"Japanese OEMs continue to lead Saudi Arabia automotive market , anchored by Toyota's 26.1% market share , reflecting a structural advantage in total cost of ownership (TCO) and resale value .",same_market,63.1,hold,low,approved_for_review,ksa-automotive-market-competitive-shift and ksa-automotive-growth-strategy-vision-2030 share a same market relationship (confidence 0.90); link with anchor 'Saudi Arabia Automotive Market' [hold].,
152bf807-b392-4a05-98e3-708ac9c5b749,approved,https://www.kenresearch.com/articles/indonesia-car-rental-leasing-market-b2b-ota-dominance,https://www.kenresearch.com/vietnam-car-rental-mobility-solutions-market,Vietnam Car Rental Market Outlook,contextual_body,The Indonesian car rental and leasing market is being reshaped by rapid digitisation.,report_article_support,61.5,hold,low,approved_for_review,indonesia-car-rental-leasing-market-b2b-ota-dominance and vietnam-car-rental-mobility-solutions-market share a report article support relationship (confidence 0.75); link with anchor 'Vietnam Car Rental Market' [hold].,
4d0fe816-4dff-4856-956f-ce66bcfe4669,approved,https://www.kenresearch.com/global-silicone-market,https://www.kenresearch.com/bahrain-silicone-market,Bahrain Silicone Market,contextual_body,"The future of the silicone market appears promising, driven by technological advancements and a growing emphasis on sustainability.",global_local,61.1,hold,low,approved_for_review,global-silicone-market and bahrain-silicone-market share a global local relationship (confidence 0.80); link with anchor 'Bahrain Silicone Market' [hold].,
b6dff80f-058c-429d-bb13-9ae695bdaff8,approved,https://www.kenresearch.com/case-studies/cold-storage-market-strategy-saudi-arabia,https://www.kenresearch.com/case-studies/uae-cold-storage-market-expansion-strategies,UAE Cold Storage Market,contextual_body,"Despite its growth potential, the cold-storage segment remained fragmented and under-served by modern Grade A facilities.",same_market,60.9,hold,low,approved_for_review,cold-storage-market-strategy-saudi-arabia and uae-cold-storage-market-expansion-strategies share a same market relationship (confidence 0.90); link with anchor 'UAE Cold Storage Market' [hold].,
